manufacturer,model,engine,transmission,drivetrain,fuel_type
Honda,Accord Hybrid Base,"2L I-4 DOHC, i-VTEC variable valve control, engine with 143HP",AUTOMATIC,Front-wheel Drive,Hybrid
Honda,Accord Hybrid Touring,"2L I-4 DOHC, i-VTEC variable valve control, engine with 143HP","Automatic, CVT",Front-wheel Drive,Gasoline
Honda,Accord Hybrid,Engine: 2.0L 16-Valve DOHC i-VTEC 4-Cylinder -inc: AC synchronou,,Front-wheel Drive,Hybrid
Honda,Accord Hybrid EX-L w/ Navigation,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Accord Hybrid Sport,2.0L I4 16V GDI DOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Accord Hybrid Touring,2.0L 4-Cylinder i-VTEC,eCVT,Front-wheel Drive,
Honda,Accord Hybrid Base,195.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Front-wheel Drive,Hybrid
Honda,Accord Hybrid Touring,195.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Front-wheel Drive,Hybrid
Honda,Accord Hybrid Touring,2.0L I4,Automatic 1-Speed,Front-wheel Drive,Hybrid
Honda,Accord Hybrid Base,"3L V-6 i-VTEC VCM variable valve control, engine with cylinder d",Automatic,Front-wheel Drive,Gasoline
Honda,Accord Hybrid EX-L,2.0L I4 16V GDI DOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Accord Hybrid Base,"2L I-4 DOHC, i-VTEC variable valve control, engine with 141HP",Automatic,Front-wheel Drive,Gasoline
Honda,Accord Hybrid EX-L,Engine: 2.0L 16-Valve DOHC i-VTEC 4-Cylinder -inc: AC synchronou,Automatic,Front-wheel Drive,Hybrid
Honda,Accord Hybrid Base (A5),3.0L V6 24V MPFI SOHC Hybrid,5-Speed Automatic,Front-wheel Drive,Hybrid
Honda,Accord Hybrid Touring,2.0L 4-Cylinder DOHC 16V i-VTEC,eCVT,Front-wheel Drive,Hybrid
Honda,CR-V Hybrid EX-L,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,All-wheel Drive,Hybrid
Honda,CR-V Hybrid EX-L,Gas/Electric I-4 2.0 L/122,Variable,All-wheel Drive,Hybrid
Honda,CR-V Hybrid EX,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,All-wheel Drive,Hybrid
Honda,CR-V Hybrid Touring,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,All-wheel Drive,Hybrid
Honda,CR-V Hybrid,,Continuously Variable Transmission,,
Honda,CR-V Hybrid,,Continuously Variable Transmission,,Hybrid
Honda,CR-V Hybrid LX,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,All-wheel Drive,Hybrid
Honda,CR-V Hybrid Touring,Gas/Electric I-4 2.0 L/122,Variable,All-wheel Drive,Hybrid
Honda,CR-V Hybrid Sport Touring,Gas/Electric I-4 2.0 L/122,Variable,All-wheel Drive,Hybrid
Honda,CR-V Hybrid EX,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,AWD,Hybrid
Honda,CR-V Hybrid Sport Touring,2.0L I4 16V GDI DOHC Hybrid,Automatic CVT,All-wheel Drive,Hybrid
Honda,CR-V Hybrid Touring,212.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,All-wheel Drive,Hybrid
Honda,CR-V Hybrid EX,Gas/Electric I-4 2.0 L/122,Variable,All-wheel Drive,Hybrid
Honda,CR-V Hybrid Sport,2.0L I4 16V GDI DOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,CR-V Hybrid Touring,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,AWD,Hybrid
Honda,CR-V Hybrid Sport,2.0L I4 16V GDI DOHC Hybrid,Automatic CVT,All-wheel Drive,Hybrid
Honda,CR-V Hybrid LX,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,AWD,Hybrid
Honda,CR-V Hybrid Sport,2.0L I4 16V GDI DOHC Hybrid,Automatic,Front-wheel Drive,Hybrid
Honda,CR-V Hybrid Sport,204.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Front-wheel Drive,Hybrid
Honda,CR-V Hybrid EX-L,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,AWD,Hybrid
Honda,CR-V Hybrid Sport,2.0L I4 16V GDI DOHC Hybrid,Automatic,All-wheel Drive,Hybrid
Honda,CR-V Hybrid Sport Touring,Gas/Electric I-4 2.0 L/122,Automatic,All-wheel Drive,Hybrid
Honda,Insight EX,1.5L I4 16V MPFI DOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Insight,,Continuously Variable Transmission,,
Honda,Insight Touring,1.5L I4 16V MPFI DOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Insight EX,1.3L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Insight LX,1.5L I4 16V MPFI DOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Insight Touring,"1.5L I-4 DOHC, i-VTEC variable valve control, engine with 107HP",Automatic,Front-wheel Drive,Gasoline
Honda,Insight EX,151.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Front-wheel Drive,Hybrid
Honda,Insight Base,1.3L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Insight LX,1.3L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Insight EX,1.5L I4 16V MPFI DOHC Hybrid,Automatic CVT,FWD,Hybrid
Honda,Insight EX,"1.3L I-4 variable valve control, engine with 88HP",Automatic,Front-wheel Drive,Gasoline
Honda,Insight LX,"1.3L I-4 variable valve control, engine with 88HP",Automatic,Front-wheel Drive,Gasoline
Honda,Insight EX,"1.5L I-4 DOHC, i-VTEC variable valve control, engine with 107HP",Automatic,Front-wheel Drive,Gasoline
Honda,Insight EX,,Automatic,Front-wheel Drive,Hybrid
Honda,Insight EX,"1.5L I-4 DOHC, i-VTEC variable valve control, engine with 107HP",eCVT,Front-wheel Drive,Gasoline
Honda,Insight Touring,"1.5L I-4 DOHC, i-VTEC variable valve control, engine with 107HP",CVT,Front-wheel Drive,Gasoline
Honda,Insight LX,"1.5L I-4 DOHC, i-VTEC variable valve control, engine with 107HP",1-Speed Direct-Drive Automatic,Front-wheel Drive,Gasoline
Honda,Insight LX,151.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Front-wheel Drive,Hybrid
Honda,Insight Touring,"1.5L I-4 DOHC, i-VTEC variable valve control, engine with 107HP",eCVT,Front-wheel Drive,Gasoline
Honda,Insight LX,"1.5L I-4 DOHC, i-VTEC variable valve control, engine with 107HP",Automatic,Front-wheel Drive,Gasoline
Honda,Insight Touring,Gas/Electric I-4 1.5 L/91,Variable,Front-wheel Drive,Hybrid
Honda,Insight,1.3L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Insight EX,Gas/Electric I-4 1.5 L/91,Variable,Front-wheel Drive,Hybrid
Honda,Insight LX,1.5L I4 SMPI Hybrid DOHC 16V LEV3-SULEV30,CVT,Front-wheel Drive,Hybrid
Honda,Insight EX,98.0HP 1.3L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Front-wheel Drive,Hybrid
Honda,Insight EX,1.3L SOHC MPFI 8-valve i-VTEC I4 hybrid engine w/permanent-magne,Automatic,Front-wheel Drive,Hybrid
Honda,Insight Touring,1.5L I4 16V MPFI DOHC Hybrid,Automatic CVT,FWD,Hybrid
Honda,Insight EX,1.3L I4 8V MPFI SOHC Hybrid,Automatic CVT,FWD,Hybrid
Honda,Insight EX,98.0HP 1.3L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Front-wheel Drive,Hybrid
Honda,Insight Touring,"1.5L I-4 DOHC, i-VTEC variable valve control, engine with 107HP",Variable,Front-wheel Drive,Gasoline
Honda,Insight LX,98.0HP 1.3L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Front-wheel Drive,Hybrid
Honda,Insight LX,Gas/Electric I4 1.3L/82,Automatic,Front-wheel Drive,Hybrid
Honda,Insight LX,"1.5L I-4 DOHC, i-VTEC variable valve control, engine with 107HP",eCVT,Front-wheel Drive,Gasoline
Honda,Insight LX,"1.5L I-4 DOHC, i-VTEC variable valve control, engine with 107HP",CVT,Front-wheel Drive,Gasoline
Honda,Insight EX 4dr Hatchback,"1.3L I-4 variable valve control, engine with 88HP",Automatic,Front-wheel Drive,Gasoline
Honda,Insight 5dr CVT,"1.3L I-4 variable valve control, engine with 88HP",Automatic,Front-wheel Drive,Gasoline
Honda,Insight EX,"1.5L I-4 DOHC, i-VTEC variable valve control, engine with 107HP",Variable,Front-wheel Drive,Gasoline
Honda,Insight LX,Gas/Electric I-4 1.5 L/91,Variable,Front-wheel Drive,Hybrid
Honda,Civic Hybrid,1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Base w/Leather (CVT),1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Base w/Navi (CVT),1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Civic Hybrid,1.3L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Civic Hybrid,1.3L SOHC MPFI 8-valve i-VTEC I4 engine w/permanent-magnet motor,CVT,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Base,"1.3L I-4 i-VTEC variable valve control, engine with 93HP",Automatic,Front-wheel Drive,Gasoline
Honda,Civic Hybrid Base (CVT),1.3L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Leather,1.5L SOHC MPFI 8-valve 2-stage i-VTEC I4 hybrid engine w/permane,,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Base,110.0HP 1.3L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Front-wheel Drive,Hybrid
Honda,Civic Hybrid,1.3L SOHC MPFI 8-valve i-VTEC I4 hybrid engine w/permanent-magne,,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Base w/Navi (CVT),1.3L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Base,"1.3L I-4 i-VTEC variable valve control, engine with 93HP","Automatic, CVT",Front-wheel Drive,Gasoline
Honda,Civic Hybrid Base,110.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Base,"1.5L I-4 i-VTEC variable valve control, engine with 90HP",A/T,Front-wheel Drive,Gasoline
Honda,Civic Hybrid Base,93.0HP 1.3L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Front-wheel Drive,Hybrid
Honda,Civic Hybrid,1.5L SOHC MPFI 8-valve i-VTEC I4 hybrid engine w/permanent-magne,Automatic,Front-wheel Drive,Hybrid
Honda,Civic Hybrid AT-PZEV,1.3L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Base,85.0HP 1.3L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Front-wheel Drive,Hybrid
Honda,Civic Hybrid 1-OWNER,1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Base (CVT),1.3L SOHC MPFI 8-valve i-VTEC I4 hybrid engine w/permanent-magne,Automatic,Front-wheel Drive,Hybrid
Honda,Civic Hybrid,1.3L SOHC MPFI 8-valve i-VTEC I4 engine w/permanent-magnet elect,Automatic,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Base (CVT),1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Base,"1.3L I-4 i-VTEC variable valve control, engine with 93HP",A,Front-wheel Drive,Gasoline
Honda,Civic Hybrid Base,"1.3L I-4 variable valve control, engine with 85HP",Automatic,Front-wheel Drive,Gasoline
Honda,Civic Hybrid HYBRIDWNAVI,1.3L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Base w/Leather/Navi (CVT),1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Honda,Civic Hybrid Base,"1.5L I-4 i-VTEC variable valve control, engine with 90HP",Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,IVT,All-wheel Drive,Gasoline
Hyundai,Kona Ultimate,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,All-wheel Drive,Gasoline
Hyundai,Kona SEL,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SE,2.0L I4 16V MPFI DOHC,6-Speed Automatic,All-wheel Drive,Gasoline
Hyundai,Kona Iron Man,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,All-wheel Drive,Gasoline
Hyundai,Kona Limited,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,All-wheel Drive,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,IVT,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,6-Speed Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,Automatic CVT,Front-wheel Drive,Gasoline
Hyundai,Kona Ultimate,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,Automatic CVT,All-wheel Drive,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,6-Speed Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SE,2.0L I4 16V MPFI DOHC,6-Speed Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona N Line,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SEL Plus,2.0L I4 16V MPFI DOHC,6-Speed Automatic,FWD,Gasoline
Hyundai,Kona SE,2.0L I4 16V MPFI DOHC,6-Speed Automatic,FWD,Gasoline
Hyundai,Kona Limited,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Hyundai,Kona SEL Plus,2.0L I4 16V MPFI DOHC,6-Speed Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SE,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SEL,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",6-Speed Automatic with Shiftronic,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,Automatic,All-wheel Drive,Gasoline
Hyundai,Kona Ultimate,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,FWD,Gasoline
Hyundai,Kona SEL Plus,2.0L I4 16V MPFI DOHC,6-Speed Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona NIGHT,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,All-wheel Drive,Gasoline
Hyundai,Kona N Line,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic,All-wheel Drive,Gasoline
Hyundai,Kona Limited,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,4 Cylinder,Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SEL,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SE,2.0L I4 16V MPFI DOHC,Automatic CVT,All-wheel Drive,Gasoline
Hyundai,Kona Ultimate,"Gamma 1.6L I-4 gasoline direct injection, DOHC, D-CVVT variable",Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona Ultimate,Intercooled Turbo Regular Unleaded I-4 1.6 L/97,Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona N Line,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,All-wheel Drive,Gasoline
Hyundai,Kona SEL,Regular Unleaded I-4 2.0 L/122,Variable,Front-wheel Drive,Gasoline
Hyundai,Kona SE,2.0L I4 16V MPFI DOHC,Automatic CVT,Front-wheel Drive,Gasoline
Hyundai,Kona SE,2.0L I4 16V MPFI DOHC,,All-wheel Drive,Gasoline
Hyundai,Kona SE,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",6-Speed Automatic with Shiftronic,All-wheel Drive,Gasoline
Hyundai,Kona Limited,1.6L I4 16V GDI DOHC Turbo,Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,6-Speed Automatic,AWD,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,I4,Automatic,Front-wheel Drive,
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,7-Speed Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SE,2.0L I4 16V MPFI DOHC,6-Speed Automatic,AWD,Gasoline
Hyundai,Kona Limited,"Gamma 1.6L I-4 gasoline direct injection, DOHC, variable valve c",Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,Regular Unleaded I-4 2.0 L/122,Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SEL,Nu 2.0L I4 147hp 132ft. lbs.,6-Speed Shiftable Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona Limited,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,FWD,Gasoline
Hyundai,Kona SE,Regular Unleaded I-4 2.0 L/122,Automatic,All-wheel Drive,Gasoline
Hyundai,Kona N Line,1.6L I4 16V GDI DOHC Turbo,Automatic,All-wheel Drive,Gasoline
Hyundai,Kona N Line,Intercooled Turbo Regular Unleaded I-4 1.6 L/98,Automatic,All-wheel Drive,Gasoline
Hyundai,Kona Limited,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,AWD,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,6-Speed Automatic,FWD,Gasoline
Hyundai,Kona N Line,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,4 Cylinder,Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SEL Plus,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",Automatic,All-wheel Drive,Gasoline
Hyundai,Kona Iron Man,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",CVT,All-wheel Drive,Gasoline
Hyundai,Kona SEL Plus,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",6-Speed Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SE,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SE,Regular Unleaded I-4 2.0 L/122,Variable,All-wheel Drive,Gasoline
Hyundai,Kona N Line,1.6L I4 16V GDI DOHC Turbo,7-Speed DCT Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona NIGHT,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Hyundai,Kona Ultimate,"Gamma 1.6L I-4 gasoline direct injection, DOHC, variable valve c",Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SEL Plus,Regular Unleaded I-4 2.0 L/122,Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SE,Regular Unleaded I-4 2.0 L/122,Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SEL Plus,Regular Unleaded I-4 2.0 L/122,Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SE,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",6-Speed Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,Regular Unleaded I-4 2.0 L/122,Variable,All-wheel Drive,Gasoline
Hyundai,Kona Ultimate,Intercooled Turbo Regular Unleaded I-4 1.6 L/97,Automatic,All-wheel Drive,Gasoline
Hyundai,Kona Limited,Intercooled Turbo Regular Unleaded I-4 1.6 L/97,Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SE,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP","Automatic, 6-Spd w/Shiftronic",All-wheel Drive,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,Automatic CVT,FWD,Gasoline
Hyundai,Kona SEL Plus,2.0L I4 16V MPFI DOHC,6-Speed Automatic,AWD,Gasoline
Hyundai,Kona Ultimate,"Gamma 1.6L I-4 gasoline direct injection, DOHC, variable valve c",7-Speed Double Clutch,All-wheel Drive,Gasoline
Hyundai,Kona Limited,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic,All-wheel Drive,Gasoline
Hyundai,Kona Ultimate,"Gamma 1.6L I-4 gasoline direct injection, DOHC, variable valve c",Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SEL,Regular Unleaded I-4 2.0 L/122,Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona Limited,"Lambda II 1.6L I-4 gasoline direct injection, DOHC, variable val",7-Speed Automatic,All-wheel Drive,Gasoline
Hyundai,Kona Limited,"Gamma 1.6L I-4 gasoline direct injection, DOHC, variable valve c",Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,7-Speed Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SEL,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",IVT,Front-wheel Drive,Gasoline
Hyundai,Kona Ultimate,4 Cylinder,Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona Limited,Intercooled Turbo Regular Unleaded I-4 1.6 L/97,Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SE,2.0L I4 16V MPFI DOHC,IVT,Front-wheel Drive,Gasoline
Hyundai,Kona Iron Man,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,FWD,Gasoline
Hyundai,Kona N Line,Intercooled Turbo Regular Unleaded I-4 1.6 L/98,Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona Limited,175.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,All-wheel Drive,Gasoline
Hyundai,Kona Limited,I4,7-Speed Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona Iron Man,"Gamma 1.6L I-4 gasoline direct injection, DOHC, variable valve c",Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona NIGHT,"Gamma 1.6L I-4 gasoline direct injection, DOHC, variable valve c",Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,2.0L I4 16V MPFI DOHC,OTHER,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Front-wheel Drive,Gasoline
Hyundai,Kona SEL,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",6-Speed Automatic,All-wheel Drive,Gasoline
Hyundai,Kona N Line,"Lambda II 1.6L I-4 gasoline direct injection, DOHC, variable val",7-Speed Automatic,All-wheel Drive,Gasoline
Hyundai,Kona Limited,"Gamma 1.6L I-4 gasoline direct injection, DOHC, variable valve c",7-Speed Automatic,All-wheel Drive,Gasoline
Hyundai,Kona Limited,1.6L I4 16V GDI DOHC Turbo,Automatic,FWD,Gasoline
Hyundai,Kona Ultimate,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,AWD,Gasoline
Hyundai,Kona SEL Plus,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona Limited,4 Cylinder,Automatic,All-wheel Drive,Gasoline
Hyundai,Kona Ultimate,"Gamma 1.6L I-4 gasoline direct injection, DOHC, variable valve c",7-Speed Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SEL,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",7-Speed Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona Limited,Intercooled Turbo Regular Unleaded I-4 1.6 L/98,Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona Limited,1.6L I4 16V GDI DOHC Turbo,Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SEL,Engine: 2.0L MPI DOHC I4 w/D-CVVT -inc: cover and hood insulator,Automatic,All-wheel Drive,Gasoline
Hyundai,Kona Limited,1.6L I4 16V GDI DOHC Turbo,7-Speed Automatic with Overdrive and Auto-Shift,All-wheel Drive,Gasoline
Hyundai,Kona Ultimate,"Gamma 1.6L I-4 gasoline direct injection, DOHC, D-CVVT variable",Automatic,All-wheel Drive,Gasoline
Hyundai,Kona SEL,"Nu 2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",6-speed automatic,All-wheel Drive,Gasoline
Hyundai,Kona N Line,1.6L I4 16V GDI DOHC Turbo,Automatic,Front-wheel Drive,Gasoline
Hyundai,Kona NIGHT,"Gamma 1.6L I-4 gasoline direct injection, DOHC, variable valve c",Automatic,All-wheel Drive,Gasoline
Hyundai,IONIQ Hybrid Blue,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Front-wheel Drive,Hybrid
Hyundai,IONIQ Hybrid Limited,4 Cylinder,Automatic,Front-wheel Drive,Gasoline
Hyundai,IONIQ Hybrid SEL,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Front-wheel Drive,Hybrid
Hyundai,IONIQ Hybrid Limited,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Front-wheel Drive,Hybrid
Hyundai,IONIQ Hybrid SE,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Front-wheel Drive,Hybrid
Hyundai,IONIQ Hybrid Blue,Gas/Electric I-4 1.6 L/96,Automatic,Front-wheel Drive,Hybrid
Hyundai,IONIQ Hybrid Blue,"KAPPA 1.6L I-4 gasoline direct injection, DOHC, D-CVVT variable",Automatic,Front-wheel Drive,Gasoline
Hyundai,IONIQ Hybrid SEL,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,FWD,Hybrid
Hyundai,IONIQ Hybrid Limited,"KAPPA 1.6L I-4 gasoline direct injection, DOHC, D-CVVT variable",Automatic,Front-wheel Drive,Gasoline
Hyundai,IONIQ Hybrid Blue,4 Cylinder Engine,6 speed ecoshift dual clutch auto,Front-wheel Drive,Hybrid
Hyundai,IONIQ Hybrid Limited,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,FWD,Hybrid
Hyundai,IONIQ Hybrid SEL,4 Cylinder,Automatic,Front-wheel Drive,Gasoline
